Date,AQI
2018-08-01,114.9166666667
2018-08-02,151.2083333333
2018-08-03,146.75
2018-08-04,142.9583333333
2018-08-05,145.8333333333
2018-08-06,134.9166666667
2018-08-07,116.625
2018-08-08,77.0833333333
2018-08-09,81.3333333333
2018-08-10,95.75
2018-08-11,73.9583333333
2018-08-12,54.125
2018-08-13,67.7916666667
2018-08-14,101.2083333333
2018-08-15,101.2916666667
2018-08-16,74.625
2018-08-17,82.375
2018-08-18,68.9166666667
2018-08-19,122.5263157895
2018-08-20,169.2857142857
2018-08-21,110.7925
2018-08-22,81.54625
2018-08-23,52.3
2018-08-24,46.6666666667
2018-08-25,44.4583333333
2018-08-26,31.6666666667
2018-08-27,53.375
2018-08-28,72.7083333333
2018-08-29,58.5833333333
2018-08-30,85.875
2018-08-31,114.4583333333
2018-09-01,107.2083333333
2018-09-02,111.85415
2018-09-03,116.5
2018-09-04,125.347826087
2018-09-05,93.6666666667
2018-09-06,99.6666666667
2018-09-07,85.375
2018-09-08,65.8333333333
2018-09-09,47.2916666667
2018-09-10,61.7619047619
2018-09-11,42.3809524
2018-09-12,45.52
2018-09-13,55
2018-09-14,90.6
2018-09-15,90.125
2018-09-16,102.9166666667
2018-09-17,138.9583333333
2018-09-18,134.5
2018-09-19,140.4583333333
2018-09-20,150.5909090909
2018-09-21,96.45
2018-09-22,49.2941176471
2018-09-23,79
2018-09-24,55.4166666667
2018-09-25,61.2916666667
2018-09-26,98.875
2018-09-27,146.5833333333
2018-09-28,146.125
2018-09-29,153.9166666667
2018-09-30,132.3333333333
2018-10-01,152.875
2018-10-02,156.2083333333
2018-10-03,127.0416666667
2018-10-04,167.7916666667
2018-10-05,173.875
2018-10-06,150.25
2018-10-07,158.4583333333
2018-10-08,173.9166666667
2018-10-09,172
2018-10-10,163.5833333333
2018-10-11,136.625
2018-10-12,137.2083333333
2018-10-13,182.25
2018-10-14,162.1666666667
2018-10-15,177.2083333333
2018-10-16,180.125
2018-10-17,173.3333333333
2018-10-18,170.3333333333
2018-10-19,181.3333333333
2018-10-20,202.1666666667
2018-10-21,180.25
2018-10-22,172.7916666667
2018-10-23,165.2916666667
2018-10-24,187.5
2018-10-25,200.2105263158
2018-10-26,168.6
2018-10-27,241.8333333333
2018-10-28,248.75
2018-10-29,263.0833333333
2018-10-30,311.4166666667
2018-10-31,248.625
2018-11-01,254.875
2018-11-02,241.3333333333
2018-11-03,202.7916666667
2018-11-04,148.7916666667
2018-11-05,371.9166666667
2018-11-06,233.0416666667
2018-11-07,199.5833333333
2018-11-08,444.1666666667
2018-11-09,322.4583333333
2018-11-10,303
2018-11-11,273.7916666667
2018-11-12,288
2018-11-13,280.1666666667
2018-11-14,206.6818181818
2018-11-15,172.9583333333
2018-11-16,209.0833333333
2018-11-17,187.375
2018-11-18,192
2018-11-19,232.0454545455
2018-11-20,249.3333333333
2018-11-21,285.5416666667
2018-11-22,174
2018-11-23,228.9583333333
2018-11-24,170.7083333333
2018-11-25,175
2018-11-26,219.3333333333
2018-11-27,197
2018-11-28,208.375
2018-11-29,223.2083333333
2018-11-30,233.6666666667
2018-12-01,207.8333333333
2018-12-02,178.4583333333
2018-12-03,210.4166666667
2018-12-04,226.625
2018-12-05,213.75
2018-12-06,232.1666666667
2018-12-07,235.7916666667
2018-12-08,242.9166666667
2018-12-09,238.7083333333
2018-12-10,289.4166666667
2018-12-11,296.2916666667
2018-12-12,256.0833333333
2018-12-13,160.2083333333
2018-12-14,175.125
2018-12-15,185.7916666667
2018-12-16,188.125
2018-12-17,229.6666666667
2018-12-18,270.9583333333
2018-12-19,276
2018-12-20,277.8333333333
2018-12-21,296.4583333333
2018-12-22,344.4166666667
2018-12-23,297.625
2018-12-24,267.3333333333
2018-12-25,270.1666666667
