date,so2,no2,rspm,spm,AQI
2005-11-30,4.825,10.512500000000001,31.5,63.875,63.875
2005-12-31,4.699999999999999,10.0375,33.25,66.875,66.875
2006-01-31,4.315363474309579,9.443200570845372,38.794201315180196,87.045633965447,87.045633965447
2006-02-28,4.025,9.075000000000001,43.5,105.375,105.375
2006-03-31,4.0,9.05,44.875,111.5,111.5
2006-04-30,4.0,9.0,43.5,108.25,108.25
2006-05-31,4.0,9.0,41.875,108.25,108.25
2006-06-30,4.0,9.0,34.5,101.75,101.75
2006-07-31,4.0,9.0,33.142857142857146,105.14285714285714,105.14285714285714
2006-08-31,4.0,9.0,31.875,106.625,106.625
2006-09-30,4.0,9.0,27.125,97.0,97.0
2006-10-31,4.0,9.0,21.75,81.625,81.625
2006-11-30,4.0,9.0,25.125,94.0,94.0
2006-12-31,4.0,9.0,26.75,89.625,89.625
2007-01-31,4.0,9.0,25.625,84.25,84.25
2007-02-28,4.0,9.0,25.0,85.9,85.9
2007-03-31,4.0,9.0,26.2,83.9,83.9
2007-04-30,4.0,9.0,27.4,85.2,85.2
2007-05-31,4.0,9.0,29.7,89.0,89.0
2007-06-30,4.0,9.0,24.9,82.9,82.9
2007-07-31,4.0,9.0,25.6,82.5,82.5
2007-08-31,4.000000000000001,9.000000000000037,25.156670418133082,84.10960979129855,84.10960979129855
2007-09-30,4.0,9.0,23.7,85.5,85.5
2007-10-31,4.0,9.0,23.428571428571427,86.14285714285714,86.14285714285714
2007-11-30,4.0,9.0,27.2,88.1,88.1
2007-12-31,4.0,9.0,29.0,92.875,92.875
2008-01-31,4.0,9.0,29.1,92.4,92.4
2008-02-29,4.0,9.0,28.0,87.9,87.9
2008-03-31,4.0,9.0,27.3,86.6,86.6
2008-04-30,4.0,9.0,30.8,96.9,96.9
2008-05-31,4.0,9.0,32.666666666666664,102.88888888888889,102.88888888888889
2008-06-30,4.0,9.0,32.45454545454545,106.0,106.0
2008-07-31,4.0,9.0,34.0,115.8,115.8
2008-08-31,4.0,9.0,41.5,123.6,123.6
2008-09-30,4.0,9.0,39.9,122.8,122.8
2008-10-31,4.0,9.0,41.25,126.0,126.0
2008-11-30,4.0,9.0,35.625,123.75,123.75
2008-12-31,4.0,9.0,38.5,130.3,130.3
2009-01-31,4.0,9.0,33.2,102.0,102.0
2009-02-28,4.0,9.0,36.625,117.75,117.75
2009-03-31,4.0,9.0,39.1,126.4,126.4
2009-04-30,4.0,9.0,42.0,128.5,128.5
2009-05-31,4.0,9.0,40.6,129.7,129.7
2009-06-30,4.0,9.0,42.7,133.0,133.0
2009-07-31,3.9999999999998908,8.999999999999885,44.229810599394895,133.0290253577458,133.0290253577458
2009-08-31,4.0,9.0,43.111111111111114,130.88888888888889,130.88888888888889
2009-09-30,4.0,9.0,40.09090909090909,129.9090909090909,129.9090909090909
2009-10-31,4.0,9.0,43.0,134.9,134.9
2009-11-30,4.000000000023016,9.000000000024302,43.07414963721822,139.43346173787003,139.43346173787003
